question_id,question_text,category,weight,positive_direction,red_flag,early_stop,answer_type

K7,Are you looking forward to major milestones together?,Commitment,8,1,0,0
K8,Do you feel secure in your relationship’s future?,Commitment,9,1,0,0
K9,Does your partner make you a priority?,Commitment,8,1,0,0
K10,Are important dates remembered?,Commitment,5,1,0,0
K11,Are decisions made together?,Commitment,6,1,0,0
K12,Is your partner involved in family matters?,Commitment,7,1,0,0
K13,Does your partner avoid discussing the future?,Commitment,6,0,0,0
K14,Is your partner present during important moments?,Commitment,7,1,0,0
K15,Do you feel your partner’s effort matches yours?,Commitment,8,1,0,0
K16,Has your partner abandoned you in critical times?,Commitment,7,0,0,0
K17,Are roles and responsibilities clarified?,Commitment,6,1,0,0
K18,Does your partner act on plans made together?,Commitment,8,1,0,0
K19,Is supporting each other's personal growth important?,Commitment,7,1,0,0
K20,Are disagreements about commitment common?,Commitment,7,0,0,0
E1,Does this person support you during difficult times?,Emotional,8,1,0,0
E2,Do you feel emotionally safe with this person?,Emotional,9,1,0,0
E3,Do you feel safe being vulnerable with your partner?,Emotional,8,1,0,0
E4,Does your partner validate your feelings?,Emotional,6,1,0,0
E5,Is emotional support lacking during tough times?,Emotional,7,0,0,0
E6,Can you openly cry or express sadness?,Emotional,6,1,0,0
E7,Does your partner comfort you when you’re upset?,Emotional,8,1,0,0
E8,Are you able to ask for emotional support?,Emotional,7,1,0,0
E9,Does your partner ridicule your emotions?,Emotional,8,0,0,0
E10,Is empathy shown during problems?,Emotional,7,1,0,0
E11,Do you feel emotionally isolated?,Emotional,7,0,0,0
E12,Are emotional needs communicated?,Emotional,6,1,0,0
E13,Does your partner ignore your distress?,Emotional,7,0,0,0
E14,Is emotional care mutual?,Emotional,8,1,0,0
E15,Does your partner belittle your emotional pain?,Emotional,8,0,0,0
E16,Are feelings discussed without judgment?,Emotional,6,1,0,0
E17,Does your partner respect your emotional boundaries?,Emotional,7,1,0,0
E18,Is your partner responsive to your struggles?,Emotional,8,1,0,0
E19,Are emotions discussed and understood?,Emotional,7,1,0,0
E20,Does your partner make you doubt your feelings?,Emotional,8,0,0,0
P1,Are you physically comfortable around this person?,Physical,5,1,0,0
P2,Is affection welcomed and reciprocated?,Physical,5,1,0,0
P3,Do you ever feel uncomfortable with physical touch?,Physical,6,0,0,0
P4,Is intimacy mutual and respectful?,Physical,7,1,0,0
P5,Does your partner ignore physical boundaries?,Physical,8,0,0,0
P6,Do you feel safe being physically close?,Physical,7,1,0,0
P7,Are preferences about intimacy respected?,Physical,7,1,0,0
P8,Has your partner pressured you sexually?,Physical,8,0,0,0
P9,Is physical affection frequent?,Physical,6,1,0,0
P10,Are displays of affection public and private?,Physical,6,1,0,0
P11,Does your partner use touch to control?,Physical,7,0,0,0
P12,Are physical needs discussed openly?,Physical,5,1,0,0
P13,Is sexual activity consensual always?,Physical,10,1,0,0
P14,Are comfort and safety prioritized during intimacy?,Physical,8,1,0,0
P15,Does your partner respect “no” regarding touch?,Physical,10,1,0,0
P16,Are physical boundaries checked regularly?,Physical,6,1,0,0
P17,Do you feel anxiety about intimacy?,Physical,7,0,0,0
P18,Are you comfortable initiating physical closeness?,Physical,7,1,0,0
P19,Has your partner ever used threats related to sex?,Physical,10,0,0,0
P20,Is touch used to express care?,Physical,7,1,0,0
RF1,Has there ever been any form of abuse in this relationship?,red_flag,10,0,1,0
RF2,Do you feel afraid of this person?,red_flag,10,0,1,0
RF3,Has your partner ever threatened you or someone you love?,red_flag,10,0,1,0
RF4,Has your partner made you feel unsafe at home?,red_flag,10,0,1,0
RF5,Has there ever been forced sexual contact?,red_flag,10,0,1,0
RF6,Has your partner ever restricted your access to family or friends?,red_flag,10,0,1,0
RF7,Has your partner ever damaged your property out of anger?,red_flag,9,0,1,0
RF8,Has your partner used insults or put-downs regularly?,red_flag,8,0,1,0
RF9,Has your partner ever hurt you physically?,red_flag,10,0,1,0
RF10,Has your partner threatened suicide to manipulate you?,red_flag,10,0,1,0
RF11,Has your partner punished you for not obeying their wishes?,red_flag,10,0,1,0
RF12,Has your partner controlled your finances against your will?,red_flag,10,0,1,0
RF13,Has your partner stalked you or tracked your movements?,red_flag,10,0,1,0
RF14,Has your partner isolated you from your support network?,red_flag,10,0,1,0
RF15,Has your partner lied to others about you to damage your reputation?,red_flag,9,0,1,0
RF16,Has your partner ever locked you out or in?,red_flag,10,0,1,0
RF17,Has your partner forced you to take drugs or alcohol?,red_flag,10,0,1,0
RF18,Has your partner ever threatened your pet or children?,red_flag,10,0,1,0
RF19,Has your partner made you feel worthless or hopeless?,red_flag,10,0,1,0
RF20,Has your partner refused medical care for you?,red_flag,10,0,1,0
